id,name,description,image,localLanguages,location,owner,ageReccomendation,tags
43,Machu Picchu,A popular destination known for its vibrant nightlife,machu_picchu.jpg,Arabic,General Lavalle,Carlynne Lindner,15,mountain
44,Statue of Liberty,An iconic tourist attraction that offers unique experiences,eiffel_tower.jpg,Chinese,Āshtīān,Charlotta Bonsey,10,urban
45,Machu Picchu,A serene and peaceful retreat surrounded by nature,great_wall.jpg,French,Baytā al Fawqā,Dulcea Kunert,15,cultural
46,Taj Mahal,A popular destination known for its vibrant nightlife,taj_mahal.jpg,Japanese,São Bento,Winfred Butchart,17,adventure
47,Pyramids of Giza,A breathtaking tourist spot with stunning views,great_wall.jpg,French,Pavlovskaya,Joachim Clist,26,beach
48,Machu Picchu,A historical landmark with rich cultural significance,great_wall.jpg,Japanese,Tomar,Enos Gullifant,13,mountain
49,Eiffel Tower,A popular destination known for its vibrant nightlife,great_wall.jpg,Chinese,Velké Svatoňovice,Alfy Guidi,25,family-friendly
50,Great Wall of China,An iconic tourist attraction that offers unique experiences,statue_of_liberty.jpg,German,Buenaventura,Bryanty Blackbourn,14,adventure
51,Great Wall of China,A popular destination known for its vibrant nightlife,statue_of_liberty.jpg,Arabic,Nysa,Mose Duffell,11,beach
52,Eiffel Tower,A historical landmark with rich cultural significance,eiffel_tower.jpg,German,Kłoczew,Angie Studart,21,natural
53,Colosseum,A breathtaking tourist spot with stunning views,statue_of_liberty.jpg,Chinese,Beira,Karilynn Laughtisse,22,historic
54,Santorini,A historical landmark with rich cultural significance,eiffel_tower.jpg,French,Baizhu,Lou Duckit,15,adventure
55,Sydney Opera House,A popular destination known for its vibrant nightlife,statue_of_liberty.jpg,Spanish,Sishui,Saunder Pickless,27,mountain
56,Pyramids of Giza,A breathtaking tourist spot with stunning views,great_wall.jpg,Japanese,Taraju,Fred McCurtin,10,beach
57,Statue of Liberty,A serene and peaceful retreat surrounded by nature,statue_of_liberty.jpg,German,Paris 13,Suzanne Clitsome,10,cultural
58,Angkor Wat,A breathtaking tourist spot with stunning views,taj_mahal.jpg,Italian,Agrela,Ripley Clunie,26,natural
59,Colosseum,A serene and peaceful retreat surrounded by nature,machu_picchu.jpg,German,Wang Nam Yen,Marigold Mandres,23,cultural
60,Machu Picchu,A popular destination known for its vibrant nightlife,eiffel_tower.jpg,German,Fatubia,Melitta Fernihough,15,natural
61,Angkor Wat,A breathtaking tourist spot with stunning views,great_wall.jpg,German,Paragominas,Elissa Shorey,28,adventure
62,Pyramids of Giza,An iconic tourist attraction that offers unique experiences,taj_mahal.jpg,Japanese,Qingfa,Talbot Ravenhill,16,family-friendly
63,Colosseum,A breathtaking tourist spot with stunning views,statue_of_liberty.jpg,Italian,Karanggeneng,Martina Fryer,20,historic
64,Sydney Opera House,A breathtaking tourist spot with stunning views,great_wall.jpg,German,Qiaoshi,Del Pinsent,12,family-friendly
65,Eiffel Tower,A popular destination known for its vibrant nightlife,great_wall.jpg,French,Haokou,Mack Jerosch,30,beach
66,Machu Picchu,A breathtaking tourist spot with stunning views,great_wall.jpg,Japanese,Faleula,Harrison Rousel,25,mountain
67,Sydney Opera House,A serene and peaceful retreat surrounded by nature,taj_mahal.jpg,French,Krajan Bejagung,Sheree Featherstonhalgh,23,historic
68,Pyramids of Giza,A serene and peaceful retreat surrounded by nature,taj_mahal.jpg,Arabic,Laleng,Sula Schimke,21,family-friendly
69,Machu Picchu,A serene and peaceful retreat surrounded by nature,eiffel_tower.jpg,Spanish,Paccho,Wendel Collaton,10,urban
70,Sydney Opera House,A popular destination known for its vibrant nightlife,statue_of_liberty.jpg,Portuguese,Xiangyanglu,Mauricio Shearwood,14,urban
71,Machu Picchu,A popular destination known for its vibrant nightlife,taj_mahal.jpg,French,Údlice,Murry McMeyler,17,natural
72,Taj Mahal,An iconic tourist attraction that offers unique experiences,great_wall.jpg,French,Soufrière,Cliff Hutcheon,14,cultural
73,Statue of Liberty,A popular destination known for its vibrant nightlife,machu_picchu.jpg,French,Marang,Shela Linney,20,urban
74,Great Wall of China,An iconic tourist attraction that offers unique experiences,machu_picchu.jpg,Portuguese,Morón,Chastity Schultze,28,urban
75,Pyramids of Giza,A popular destination known for its vibrant nightlife,eiffel_tower.jpg,Spanish,Manggis,Chip Selly,17,cultural
76,Machu Picchu,An iconic tourist attraction that offers unique experiences,taj_mahal.jpg,French,Dahe,Michaela Shorton,15,mountain
77,Great Wall of China,A historical landmark with rich cultural significance,machu_picchu.jpg,German,Iles,Brianna MacIlriach,17,family-friendly
78,Santorini,An iconic tourist attraction that offers unique experiences,machu_picchu.jpg,German,Pyatigorskiy,Carina Empringham,28,adventure
79,Colosseum,A popular destination known for its vibrant nightlife,eiffel_tower.jpg,French,Marseille,Carine Kachel,25,historic
80,Machu Picchu,A serene and peaceful retreat surrounded by nature,machu_picchu.jpg,Russian,Jambesari,Olwen Winham,29,urban
81,Colosseum,A historical landmark with rich cultural significance,great_wall.jpg,Russian,Liulihe,Sebastian Kundert,27,urban
82,Machu Picchu,An iconic tourist attraction that offers unique experiences,machu_picchu.jpg,Italian,Sudimara,Blinnie Hilhouse,22,mountain
83,Colosseum,A popular destination known for its vibrant nightlife,statue_of_liberty.jpg,Spanish,Paris La Défense,Pepillo Corrett,14,cultural
84,Machu Picchu,A popular destination known for its vibrant nightlife,machu_picchu.jpg,German,Efkarpía,Josepha Genicke,30,historic
85,Statue of Liberty,A serene and peaceful retreat surrounded by nature,great_wall.jpg,Spanish,Keboncau,Desi Sheards,29,urban
86,Great Wall of China,A historical landmark with rich cultural significance,taj_mahal.jpg,Portuguese,Guamo,Matthiew Dreng,23,beach
87,Santorini,A breathtaking tourist spot with stunning views,great_wall.jpg,Russian,San Antonio,Valera Duckham,29,mountain
88,Eiffel Tower,A historical landmark with rich cultural significance,machu_picchu.jpg,Japanese,Broto,Tiffany Sprowles,26,natural
89,Taj Mahal,A serene and peaceful retreat surrounded by nature,great_wall.jpg,Arabic,San Jose,Dame Gorringe,22,cultural
90,Santorini,A breathtaking tourist spot with stunning views,great_wall.jpg,German,Kogon,Nadiya Finlator,10,beach
91,Pyramids of Giza,A breathtaking tourist spot with stunning views,statue_of_liberty.jpg,English,Glagahan,Orion Chestney,29,cultural
92,Sydney Opera House,A breathtaking tourist spot with stunning views,eiffel_tower.jpg,French,Omoa,Franchot Bordiss,11,mountain
93,Machu Picchu,A historical landmark with rich cultural significance,eiffel_tower.jpg,Russian,Canton,Peria Gavaran,14,family-friendly
94,Pyramids of Giza,A breathtaking tourist spot with stunning views,taj_mahal.jpg,Arabic,Wahai,Ruy Metheringham,10,adventure
95,Santorini,A breathtaking tourist spot with stunning views,great_wall.jpg,Italian,Delong,Joana Monckton,26,cultural
96,Great Wall of China,A historical landmark with rich cultural significance,machu_picchu.jpg,French,Xilópolis,Karee Schruur,17,natural
97,Machu Picchu,An iconic tourist attraction that offers unique experiences,statue_of_liberty.jpg,English,Bobadela,Gram Mayworth,29,cultural
98,Taj Mahal,A popular destination known for its vibrant nightlife,statue_of_liberty.jpg,German,Cachoeira do Sul,Hazel Pulsford,11,adventure
99,Santorini,A breathtaking tourist spot with stunning views,statue_of_liberty.jpg,Spanish,Linköping,Nataline Scambler,10,historic
100,Statue of Liberty,A popular destination known for its vibrant nightlife,taj_mahal.jpg,Chinese,Peer,Kipp Hounsom,23,adventure
101,Santorini,A breathtaking tourist spot with stunning views,statue_of_liberty.jpg,English,San Juan,Silva Crust,12,historic
102,Santorini,A serene and peaceful retreat surrounded by nature,eiffel_tower.jpg,German,Gatbo,Haleigh Pietruszewicz,14,family-friendly
103,Santorini,A popular destination known for its vibrant nightlife,taj_mahal.jpg,Arabic,White River,Cariotta Twine,14,cultural
104,Machu Picchu,A popular destination known for its vibrant nightlife,eiffel_tower.jpg,Russian,Arauquita,Aarika Pirdy,30,natural
105,Santorini,An iconic tourist attraction that offers unique experiences,statue_of_liberty.jpg,Chinese,Itinga,Johnna Hardi,25,beach
106,Machu Picchu,A breathtaking tourist spot with stunning views,taj_mahal.jpg,English,Kuteynykove,Deedee Raistrick,28,natural
107,Pyramids of Giza,A historical landmark with rich cultural significance,machu_picchu.jpg,English,Aioi,Mia Dionisio,21,urban
108,Colosseum,A serene and peaceful retreat surrounded by nature,statue_of_liberty.jpg,Italian,Chaodi,Glenn Gomar,21,mountain
109,Great Wall of China,A breathtaking tourist spot with stunning views,statue_of_liberty.jpg,Russian,Hualong,Halsy Lockyer,10,mountain
110,Santorini,An iconic tourist attraction that offers unique experiences,statue_of_liberty.jpg,Arabic,Hobo,Siusan Ivain,18,natural
111,Machu Picchu,A historical landmark with rich cultural significance,statue_of_liberty.jpg,Arabic,Sakété,Gina Ellif,27,natural
112,Eiffel Tower,An iconic tourist attraction that offers unique experiences,machu_picchu.jpg,Italian,Yushikalasu,Kennan Borsay,11,urban
113,Great Wall of China,A historical landmark with rich cultural significance,machu_picchu.jpg,Italian,Alexandroúpoli,Bertie Ludlamme,21,natural
114,Sydney Opera House,A popular destination known for its vibrant nightlife,great_wall.jpg,Chinese,Trindade,Arabel Killner,15,family-friendly
115,Machu Picchu,A breathtaking tourist spot with stunning views,taj_mahal.jpg,English,Al Fākhūrah,Leslie Sutehall,30,mountain
116,Angkor Wat,A historical landmark with rich cultural significance,statue_of_liberty.jpg,Arabic,Tudela,Denney MacDonald,26,mountain
117,Colosseum,A serene and peaceful retreat surrounded by nature,great_wall.jpg,German,Datong,Cherlyn Reeds,15,urban
118,Santorini,A popular destination known for its vibrant nightlife,machu_picchu.jpg,Arabic,Sovetskoye,Ethelbert Pentland,21,cultural
119,Santorini,A historical landmark with rich cultural significance,machu_picchu.jpg,Chinese,Orléans,Allayne Benasik,16,family-friendly
120,Pyramids of Giza,A historical landmark with rich cultural significance,great_wall.jpg,French,Porirua,Dinnie Yorston,15,historic
121,Taj Mahal,An iconic tourist attraction that offers unique experiences,eiffel_tower.jpg,English,Carapo,Willa Siaspinski,15,family-friendly
122,Angkor Wat,An iconic tourist attraction that offers unique experiences,machu_picchu.jpg,English,Lis,Iain Boddington,25,beach
123,Eiffel Tower,A serene and peaceful retreat surrounded by nature,machu_picchu.jpg,Arabic,Ta’ Xbiex,Esdras Gomm,17,urban
124,Santorini,A serene and peaceful retreat surrounded by nature,statue_of_liberty.jpg,Portuguese,Klang,Hazel Moline,15,natural
125,Sydney Opera House,A popular destination known for its vibrant nightlife,eiffel_tower.jpg,German,Fuwayriţ,Alberik Brittan,11,cultural
126,Sydney Opera House,A serene and peaceful retreat surrounded by nature,statue_of_liberty.jpg,Spanish,Jindong,Thatch Santorini,29,urban
127,Taj Mahal,A serene and peaceful retreat surrounded by nature,great_wall.jpg,Portuguese,Dalheim,Banky Coraini,12,adventure
128,Machu Picchu,A historical landmark with rich cultural significance,eiffel_tower.jpg,Russian,Qiewa,Pam McIlwrath,19,adventure
129,Great Wall of China,A breathtaking tourist spot with stunning views,eiffel_tower.jpg,Arabic,Phúc Yên,Shaylyn Crickmore,19,urban
130,Taj Mahal,A historical landmark with rich cultural significance,great_wall.jpg,Japanese,Januária,Marleen Tearle,11,adventure
131,Machu Picchu,A breathtaking tourist spot with stunning views,eiffel_tower.jpg,Chinese,Riobamba,Boigie Gaul,26,urban
132,Angkor Wat,A breathtaking tourist spot with stunning views,taj_mahal.jpg,Russian,Leduc,Harley Gostyke,16,natural
133,Sydney Opera House,A breathtaking tourist spot with stunning views,great_wall.jpg,English,Alavus,Traci Yankeev,11,adventure
134,Statue of Liberty,A serene and peaceful retreat surrounded by nature,machu_picchu.jpg,Russian,El Cairo,Otto Rodmell,29,beach
135,Santorini,A popular destination known for its vibrant nightlife,machu_picchu.jpg,Spanish,Ke’erlun,Gunther Delacoste,15,beach
136,Statue of Liberty,An iconic tourist attraction that offers unique experiences,great_wall.jpg,English,Motema,Philis Goulbourne,12,urban
137,Great Wall of China,A breathtaking tourist spot with stunning views,statue_of_liberty.jpg,German,Nguru,Ingemar Pakes,29,natural
138,Colosseum,A serene and peaceful retreat surrounded by nature,statue_of_liberty.jpg,Arabic,Guanajuato,Antonius Jarrette,20,beach
139,Statue of Liberty,A historical landmark with rich cultural significance,great_wall.jpg,English,Ognevka,Hansiain MacKeller,26,family-friendly
140,Great Wall of China,An iconic tourist attraction that offers unique experiences,statue_of_liberty.jpg,Portuguese,Johor Bahru,Dyna Colton,23,mountain
141,Machu Picchu,An iconic tourist attraction that offers unique experiences,statue_of_liberty.jpg,German,Riverton,Diann Dickey,16,mountain
142,Colosseum,An iconic tourist attraction that offers unique experiences,great_wall.jpg,Italian,Chengmen,Stanford Pates,30,adventure
143,Colosseum,An iconic tourist attraction that offers unique experiences,great_wall.jpg,Russian,Ar Rass,Hildegarde Mattersey,15,historic
144,Machu Picchu,A breathtaking tourist spot with stunning views,great_wall.jpg,Russian,Lingzhi,Mata Hearon,30,family-friendly
145,Colosseum,A popular destination known for its vibrant nightlife,eiffel_tower.jpg,German,Boncis,Sheelagh Kruger,11,historic
146,Sydney Opera House,A serene and peaceful retreat surrounded by nature,statue_of_liberty.jpg,French,Sagopshi,Tedmund Croisier,20,family-friendly
147,Sydney Opera House,A breathtaking tourist spot with stunning views,statue_of_liberty.jpg,German,Kulpin,Hermia Hebbron,25,mountain
148,Statue of Liberty,A historical landmark with rich cultural significance,taj_mahal.jpg,Arabic,Dajasongai,Xavier Boshard,17,family-friendly
149,Taj Mahal,A historical landmark with rich cultural significance,statue_of_liberty.jpg,Japanese,San Pedro,Curry Lunnon,27,mountain
150,Taj Mahal,A breathtaking tourist spot with stunning views,statue_of_liberty.jpg,Portuguese,Kakegawa,Illa Layhe,17,natural
151,Taj Mahal,A serene and peaceful retreat surrounded by nature,statue_of_liberty.jpg,Portuguese,Zuogaimanma,Nonnah Peare,17,natural
152,Great Wall of China,An iconic tourist attraction that offers unique experiences,statue_of_liberty.jpg,Italian,Calapan,Ellene Molyneaux,23,natural
153,Great Wall of China,A popular destination known for its vibrant nightlife,taj_mahal.jpg,Chinese,Rongkou,Costanza Chilles,21,urban
154,Angkor Wat,A breathtaking tourist spot with stunning views,taj_mahal.jpg,Arabic,Air Bangis,Leda Stefi,18,beach
155,Taj Mahal,A breathtaking tourist spot with stunning views,machu_picchu.jpg,French,Louguan,Renaud Biggins,26,cultural
156,Sydney Opera House,A historical landmark with rich cultural significance,machu_picchu.jpg,English,Verkhniye Kigi,Casey Joska,23,beach
157,Santorini,A serene and peaceful retreat surrounded by nature,machu_picchu.jpg,Chinese,Washington,Dennet Peace,29,cultural
158,Taj Mahal,A historical landmark with rich cultural significance,great_wall.jpg,Russian,Dubinino,Harbert Parkhouse,21,natural
159,Pyramids of Giza,A popular destination known for its vibrant nightlife,eiffel_tower.jpg,Chinese,Imishli,Wyn Affleck,26,historic
160,Angkor Wat,An iconic tourist attraction that offers unique experiences,great_wall.jpg,Spanish,Old City,Othilia Stitcher,21,family-friendly
161,Taj Mahal,A serene and peaceful retreat surrounded by nature,great_wall.jpg,Japanese,‘Alī al Gharbī,Eda Mosconi,30,urban
162,Taj Mahal,A historical landmark with rich cultural significance,great_wall.jpg,German,Fort Worth,Noemi Duddy,21,urban
163,Taj Mahal,A breathtaking tourist spot with stunning views,statue_of_liberty.jpg,Arabic,Lidzbark,Boycey Gaw,21,mountain
164,Colosseum,A popular destination known for its vibrant nightlife,great_wall.jpg,Russian,San Juan Atitán,Noelani Hargate,12,family-friendly
165,Angkor Wat,An iconic tourist attraction that offers unique experiences,statue_of_liberty.jpg,Portuguese,Ettal,Nadiya Banting,21,cultural
166,Eiffel Tower,A serene and peaceful retreat surrounded by nature,statue_of_liberty.jpg,Arabic,Bijia,Cymbre Lythgoe,18,natural
167,Pyramids of Giza,A breathtaking tourist spot with stunning views,statue_of_liberty.jpg,Arabic,Thoeng,Ekaterina Cosson,12,adventure
168,Taj Mahal,A historical landmark with rich cultural significance,great_wall.jpg,German,Villa Allende,Emlen Chong,20,historic
169,Sydney Opera House,A popular destination known for its vibrant nightlife,eiffel_tower.jpg,French,Kuanping,Marlo Swancock,21,natural
170,Colosseum,A breathtaking tourist spot with stunning views,great_wall.jpg,Chinese,Oemanu,Garv McCully,29,urban
171,Colosseum,A historical landmark with rich cultural significance,great_wall.jpg,English,Paragominas,Reube Pickervance,13,adventure
172,Santorini,A popular destination known for its vibrant nightlife,machu_picchu.jpg,Portuguese,Saddina,Olivier Todhunter,21,beach
173,Santorini,A popular destination known for its vibrant nightlife,eiffel_tower.jpg,Italian,Looc,Flemming Leng,17,historic
174,Eiffel Tower,A historical landmark with rich cultural significance,machu_picchu.jpg,Arabic,Lahan Sai,Diannne Baden,23,adventure
175,Santorini,A serene and peaceful retreat surrounded by nature,eiffel_tower.jpg,Japanese,Jabłonica Polska,Dennison Sterndale,22,mountain
176,Statue of Liberty,A breathtaking tourist spot with stunning views,great_wall.jpg,Japanese,Belén de los Andaquíes,Koenraad Gadd,14,beach
177,Eiffel Tower,An iconic tourist attraction that offers unique experiences,eiffel_tower.jpg,French,Palumbungan,Tallie Chastney,15,natural
178,Eiffel Tower,A serene and peaceful retreat surrounded by nature,statue_of_liberty.jpg,Spanish,Val-d'Or,Dorolisa Devall,21,family-friendly
179,Statue of Liberty,A popular destination known for its vibrant nightlife,statue_of_liberty.jpg,Arabic,Bazi,Tiffany Agirre,22,natural
180,Santorini,A breathtaking tourist spot with stunning views,great_wall.jpg,German,28 de Noviembre,Hendrik Taillant,20,urban
181,Taj Mahal,A historical landmark with rich cultural significance,eiffel_tower.jpg,English,Benito Juarez,Phillie Dello,27,family-friendly
182,Great Wall of China,A breathtaking tourist spot with stunning views,eiffel_tower.jpg,German,San Agustín,Zora Measor,11,historic
183,Pyramids of Giza,A popular destination known for its vibrant nightlife,great_wall.jpg,Portuguese,Bontoc,Joby Glidder,27,historic
184,Eiffel Tower,A serene and peaceful retreat surrounded by nature,eiffel_tower.jpg,English,Berehomet,Law Bawles,19,family-friendly
185,Machu Picchu,An iconic tourist attraction that offers unique experiences,eiffel_tower.jpg,English,Kraton,Brooks Seman,22,mountain
186,Colosseum,A popular destination known for its vibrant nightlife,statue_of_liberty.jpg,Italian,Putukrejo,Enrique Northway,15,historic
187,Machu Picchu,A breathtaking tourist spot with stunning views,great_wall.jpg,English,Sochi,Chadd Sander,11,historic
188,Santorini,A breathtaking tourist spot with stunning views,taj_mahal.jpg,English,Sukamaju,Gardener Mullane,15,natural
189,Santorini,A popular destination known for its vibrant nightlife,eiffel_tower.jpg,Italian,Youfang,Marcille Meynell,11,natural
190,Santorini,A popular destination known for its vibrant nightlife,taj_mahal.jpg,Chinese,Dulyapino,Eddie Fidge,22,urban
191,Machu Picchu,A breathtaking tourist spot with stunning views,great_wall.jpg,French,Pilluana,Grant Summerton,20,adventure
192,Taj Mahal,A serene and peaceful retreat surrounded by nature,machu_picchu.jpg,Italian,Yuqi,Idelle Bartle,16,family-friendly
193,Machu Picchu,A serene and peaceful retreat surrounded by nature,taj_mahal.jpg,Arabic,Aoluguya Ewenke Minzu,Georgetta Smithyman,16,adventure
194,Sydney Opera House,A popular destination known for its vibrant nightlife,eiffel_tower.jpg,German,Jambeyan,Sophie Durrett,29,natural
195,Pyramids of Giza,A historical landmark with rich cultural significance,machu_picchu.jpg,Portuguese,Caridad,Jonas Ludvigsen,29,cultural
196,Santorini,A breathtaking tourist spot with stunning views,great_wall.jpg,Spanish,Gondar,Addie Greenshiels,17,historic
197,Colosseum,A popular destination known for its vibrant nightlife,taj_mahal.jpg,French,Telč,Nick Hantusch,15,urban
198,Sydney Opera House,A breathtaking tourist spot with stunning views,taj_mahal.jpg,Chinese,Vahdat,Mic Egar,22,urban
199,Great Wall of China,A serene and peaceful retreat surrounded by nature,taj_mahal.jpg,Russian,Midlands,Nalani Skin,11,cultural
200,Taj Mahal,An iconic tourist attraction that offers unique experiences,eiffel_tower.jpg,Japanese,Whitehorse,Angy MacMeeking,18,cultural
201,Sydney Opera House,An iconic tourist attraction that offers unique experiences,great_wall.jpg,Portuguese,Arnhem,Carolee Calfe,14,natural
202,Machu Picchu,A historical landmark with rich cultural significance,taj_mahal.jpg,French,Nay Pyi Taw,Phaidra Heffer,14,beach
203,Colosseum,A historical landmark with rich cultural significance,taj_mahal.jpg,Italian,Salamanca,Lorine Doctor,13,beach
204,Colosseum,A serene and peaceful retreat surrounded by nature,statue_of_liberty.jpg,Spanish,Sanquan,Lewie Pavic,29,historic
205,Santorini,A breathtaking tourist spot with stunning views,taj_mahal.jpg,French,Guanajay,Chrotoem Crecy,30,cultural
206,Eiffel Tower,An iconic tourist attraction that offers unique experiences,eiffel_tower.jpg,German,El Banco,Belita Izakof,12,beach
207,Eiffel Tower,A breathtaking tourist spot with stunning views,machu_picchu.jpg,Russian,Maumbawa,Schuyler Syrad,13,mountain
208,Colosseum,A serene and peaceful retreat surrounded by nature,machu_picchu.jpg,German,Xingou,Kay Tomkins,13,adventure
209,Santorini,A serene and peaceful retreat surrounded by nature,taj_mahal.jpg,Portuguese,Budapest,Cherie Biggins,28,beach
210,Pyramids of Giza,A breathtaking tourist spot with stunning views,statue_of_liberty.jpg,Spanish,Changzhi,Corbie Odger,19,natural
211,Eiffel Tower,A serene and peaceful retreat surrounded by nature,machu_picchu.jpg,Chinese,Weekaka,Erda Townend,28,cultural
212,Colosseum,A breathtaking tourist spot with stunning views,taj_mahal.jpg,German,Miechów Charsznica,Nappie Elcox,14,beach
213,Taj Mahal,A popular destination known for its vibrant nightlife,machu_picchu.jpg,Spanish,Tysmenytsya,Maire Vasentsov,29,urban
214,Taj Mahal,A breathtaking tourist spot with stunning views,machu_picchu.jpg,Japanese,Changtian,Angelle Tremathick,10,beach
215,Pyramids of Giza,A popular destination known for its vibrant nightlife,great_wall.jpg,Japanese,Guankou,Lorianna Loweth,24,historic
216,Statue of Liberty,A popular destination known for its vibrant nightlife,statue_of_liberty.jpg,Japanese,Blois,Robert Seale,16,cultural
217,Great Wall of China,A serene and peaceful retreat surrounded by nature,great_wall.jpg,English,Princeville,Bail Epton,30,cultural
218,Colosseum,A popular destination known for its vibrant nightlife,machu_picchu.jpg,French,Barranquilla,Pietra Orvis,11,family-friendly
219,Taj Mahal,A historical landmark with rich cultural significance,machu_picchu.jpg,Italian,Prusice,Rickey Yewen,10,beach
